extractor ,key_points       ,feature_extract_time (e-04) ,extract_mean_time (e-06) ,matcher ,matches ,feature_match_time (e-04) ,match_mean_time (e-06) ,rmse_homography ,images                                                             ,error
surf      ,"[7750, 7343]"   ,"[47898.0, 60272.0]"        ,"[618.0, 821.0]"         ,bf      ,   2517 ,                  60632.0 ,                2409.0 ,         236.99 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False

brisk     ,"[3082, 2030]"   ,"[6113.0, 4199.0]"          ,"[198.0, 207.0]"         ,knn     ,    683 ,                   5844.0 ,                 856.0 ,          90.03 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
brisk     ,"[3082, 2030]"   ,"[5406.0, 4016.0]"          ,"[175.0, 198.0]"         ,bf      ,    981 ,                   9767.0 ,                 996.0 ,         173.02 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
orb       ,"[4939, 4519]"   ,"[2456.0, 2516.0]"          ,"[50.0, 56.0]"           ,knn     ,   1005 ,                  12592.0 ,                1253.0 ,          91.82 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
orb       ,"[4939, 4519]"   ,"[2766.0, 2462.0]"          ,"[56.0, 54.0]"           ,bf      ,   1768 ,                  34092.0 ,                1928.0 ,         199.4  ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
sift      ,"[2116, 2116]"   ,"[30544.0, 21902.0]"        ,"[1443.0, 1035.0]"       ,knn     ,    594 ,                   4451.0 ,                 749.0 ,         127.51 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
sift      ,"[2116, 2116]"   ,"[24534.0, 19429.0]"        ,"[1159.0, 918.0]"        ,bf      ,    848 ,                  13860.0 ,                1634.0 ,         222.44 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
surf      ,"[4863, 5929]"   ,"[43623.0, 54231.0]"        ,"[897.0, 915.0]"         ,knn     ,   1595 ,                  16666.0 ,                1045.0 ,          92.82 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
surf      ,"[4863, 5929]"   ,"[37092.0, 78066.0]"        ,"[763.0, 1317.0]"        ,bf      ,   2243 ,                  30993.0 ,                1382.0 ,         180.87 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
